213        Isotope List   
     Name    A   Z 
  618    1 N  15 ( 1 NE  1, 0      )  1 N  16 +   2.488 MEV
  619    1 N  16 ( 1 NE  1, 0      )  1 N  17 +   5.885 MEV
  620    1 N  17 ( 1 NE  1, 0      )  1 N  18 +   2.828 MEV
  621    1 N  12 ( 1 H   1, 0      )  1 O  13 +   1.512 MEV
  622    1 N  13 ( 1 H   1, 0      )  1 O  14 +   4.627 MEV
  623    1 N  14 ( 1 H   1, 0      )  1 O  15 +   7.297 MEV
  624    1 N  15 ( 1 H   1, 1 HE  4)  1 C  12 +   4.965 MEV
  625    1 N  15 ( 1 H   1, 0      )  1 O  16 +  12.127 MEV
  626    1 C  12 ( 1 HE  4, 1 H   1)  1 N  15 +  -4.965 MEV
  627    1 N  16 ( 1 H   1, 1 NE  1)  1 O  16 +   9.639 MEV
  628    1 N  16 ( 1 H   1, 1 HE  4)  1 C  13 +   7.423 MEV
  629    1 N  16 ( 1 H   1, 0      )  1 O  17 +  13.782 MEV
  630    1 O  16 ( 1 NE  1, 1 H   1)  1 N  16 +  -9.639 MEV
  631    1 C  13 ( 1 HE  4, 1 H   1)  1 N  16 +  -7.423 MEV
  632    1 N  17 ( 1 H   1, 1 NE  1)  1 O  17 +   7.897 MEV
  633    1 N  17 ( 1 H   1, 1 HE  4)  1 C  14 +   9.714 MEV
  634    1 N  17 ( 1 H   1, 0      )  1 O  18 +  15.942 MEV
  635    1 O  17 ( 1 NE  1, 1 H   1)  1 N  17 +  -7.897 MEV
  636    1 C  14 ( 1 HE  4, 1 H   1)  1 N  17 +  -9.714 MEV
  637    1 N  18 ( 1 H   1, 1 NE  1)  1 O  18 +  13.114 MEV
  638    1 N  18 ( 1 H   1, 1 HE  4)  1 C  15 +   8.104 MEV
  639    1 N  18 ( 1 H   1, 0      )  1 O  19 +  17.069 MEV
  640    1 O  18 ( 1 NE  1, 1 H   1)  1 N  18 + -13.114 MEV
  641    1 C  15 ( 1 HE  4, 1 H   1)  1 N  18 +  -8.104 MEV
  642    1 N  11 ( 1 HE  4, 1 H   1)  1 O  14 +  11.433 MEV
  643    1 O  14 ( 1 H   1, 1 HE  4)  1 N  11 + -11.433 MEV
  644    1 N  12 ( 1 HE  4, 1 H   1)  1 O  15 +   9.618 MEV
  645    1 N  12 ( 1 HE  4, 0      )  1 F  16 +   9.083 MEV
  646    1 O  15 ( 1 H   1, 1 HE  4)  1 N  12 +  -9.618 MEV
  647    1 N  13 ( 1 HE  4, 1 H   1)  1 O  16 +   5.218 MEV
  648    1 N  13 ( 1 HE  4, 0      )  1 F  17 +   5.818 MEV
  649    1 O  16 ( 1 H   1, 1 HE  4)  1 N  13 +  -5.218 MEV
  650    1 N  14 ( 1 HE  4, 0      )  1 F  18 +   4.415 MEV
  651    1 N  15 ( 1 HE  4, 0      )  1 F  19 +   4.014 MEV
  652    1 N  16 ( 1 HE  4, 1 NE  1)  1 F  19 +   1.525 MEV
  653    1 N  16 ( 1 HE  4, 0      )  1 F  20 +   8.126 MEV
  654    1 F  19 ( 1 NE  1, 1 HE  4)  1 N  16 +  -1.525 MEV
  655    1 N  17 ( 1 HE  4, 1 NE  1)  1 F  20 +   2.241 MEV
  656    1 N  17 ( 1 HE  4, 0      )  1 F  21 +  10.343 MEV
  657    1 F  20 ( 1 NE  1, 1 HE  4)  1 N  17 +  -2.241 MEV
  658    1 N  18 ( 1 HE  4, 1 NE  1)  1 F  21 +   7.515 MEV
  659    1 N  18 ( 1 HE  4, 0      )  1 F  22 +  12.745 MEV
  660    1 F  21 ( 1 NE  1, 1 HE  4)  1 N  18 +  -7.515 MEV
  661    1 N  12 ( 0      , 1 H   1)  1 C  11 +  -0.601 MEV
  662    1 N  12 ( 0      , 1 HE  4)  1 B   8 +  -8.009 MEV
  663    1 N  13 ( 0      , 1 NE  1)  1 N  12 + -20.064 MEV
  664    1 N  13 ( 0      , 1 H   1)  1 C  12 +  -1.943 MEV
  665    1 N  14 ( 0      , 1 NE  1)  1 N  13 + -10.553 MEV
  666    1 N  14 ( 0      , 1 H   1)  1 C  13 +  -7.551 MEV
  667    1 N  14 ( 0      , 1 HE  4)  1 B  10 + -11.613 MEV
  668    1 N  15 ( 0      , 1 NE  1)  1 N  14 + -10.833 MEV
  669    1 N  15 ( 0      , 1 H   1)  1 C  14 + -10.207 MEV
  670    1 N  15 ( 0      , 1 HE  4)  1 B  11 + -10.992 MEV
  671    1 N  16 ( 0      , 1 NE  1)  1 N  15 +  -2.488 MEV
  672    1 N  16 ( 0      , 1 H   1)  1 C  15 + -11.478 MEV
  673    1 N  16 ( 0      , 1 HE  4)  1 B  12 + -10.110 MEV
  674    1 N  17 ( 0      , 1 NE  1)  1 N  16 +  -5.885 MEV
  675    1 N  17 ( 0      , 1 HE  4)  1 B  13 + -11.117 MEV
  676    1 N  18 ( 0      , 1 NE  1)  1 N  17 +  -2.828 MEV
  677    1 O  13 ( 1 NE  1, 1 H   1)  1 N  13 +  18.552 MEV
  678    1 O  13 ( 1 NE  1, 1 HE  4)  1 C  10 +  13.062 MEV
  679    1 O  13 ( 1 NE  1, 0      )  1 O  14 +  23.179 MEV
  680    1 N  13 ( 1 H   1, 1 NE  1)  1 O  13 + -18.552 MEV
  681    1 C  10 ( 1 HE  4, 1 NE  1)  1 O  13 + -13.062 MEV
  682    1 O  14 ( 1 NE  1, 1 H   1)  1 N  14 +   5.926 MEV
  683    1 O  14 ( 1 NE  1, 1 HE  4)  1 C  11 +   3.003 MEV
  684    1 O  14 ( 1 NE  1, 0      )  1 O  15 +  13.222 MEV
  685    1 N  14 ( 1 H   1, 1 NE  1)  1 O  14 +  -5.926 MEV
  686    1 C  11 ( 1 HE  4, 1 NE  1)  1 O  14 +  -3.003 MEV
  687    1 O  15 ( 1 NE  1, 1 H   1)  1 N  15 +   3.537 MEV
  688    1 O  15 ( 1 NE  1, 1 HE  4)  1 C  12 +   8.502 MEV
  689    1 O  15 ( 1 NE  1, 0      )  1 O  16 +  15.664 MEV
  690    1 N  15 ( 1 H   1, 1 NE  1)  1 O  15 +  -3.537 MEV
  691    1 C  12 ( 1 HE  4, 1 NE  1)  1 O  15 +  -8.502 MEV
  692    1 O  16 ( 1 NE  1, 0      )  1 O  17 +   4.143 MEV
  693    1 O  17 ( 1 NE  1, 1 HE  4)  1 C  14 +   1.817 MEV
  694    1 O  17 ( 1 NE  1, 0      )  1 O  18 +   8.045 MEV
  695    1 C  14 ( 1 HE  4, 1 NE  1)  1 O  17 +  -1.817 MEV
  696    1 O  18 ( 1 NE  1, 0      )  1 O  19 +   3.955 MEV
  697    1 O  13 ( 1 H   1, 0      )  1 F  14 +  -1.560 MEV
  698    1 O  15 ( 1 H   1, 0      )  1 F  16 +  -0.535 MEV
  699    1 O  16 ( 1 H   1, 0      )  1 F  17 +   0.600 MEV
  700    1 O  17 ( 1 H   1, 1 HE  4)  1 N  14 +   1.192 MEV
  701    1 O  17 ( 1 H   1, 0      )  1 F  18 +   5.607 MEV
  702    1 N  14 ( 1 HE  4, 1 H   1)  1 O  17 +  -1.192 MEV
  703    1 O  18 ( 1 H   1, 1 HE  4)  1 N  15 +   3.981 MEV
  704    1 O  18 ( 1 H   1, 0      )  1 F  19 +   7.995 MEV
  705    1 N  15 ( 1 HE  4, 1 H   1)  1 O  18 +  -3.981 MEV
  706    1 O  19 ( 1 H   1, 1 NE  1)  1 F  19 +   4.038 MEV
  707    1 O  19 ( 1 H   1, 1 HE  4)  1 N  16 +   2.513 MEV
  708    1 O  19 ( 1 H   1, 0      )  1 F  20 +  10.639 MEV
  709    1 F  19 ( 1 NE  1, 1 H   1)  1 O  19 +  -4.038 MEV
  710    1 N  16 ( 1 HE  4, 1 H   1)  1 O  19 +  -2.513 MEV
  711    1 O  13 ( 1 HE  4, 1 H   1)  1 F  16 +   7.571 MEV
  712    1 O  13 ( 1 HE  4, 0      )  1 NE 17 +   9.040 MEV
  713    1 F  16 ( 1 H   1, 1 HE  4)  1 O  13 +  -7.571 MEV
  714    1 O  14 ( 1 HE  4, 1 H   1)  1 F  17 +   1.191 MEV
  715    1 O  14 ( 1 HE  4, 0      )  1 NE 18 +   5.114 MEV
  716    1 F  17 ( 1 H   1, 1 HE  4)  1 O  14 +  -1.191 MEV
  717    1 O  15 ( 1 HE  4, 0      )  1 NE 19 +   3.529 MEV
  718    1 O  16 ( 1 HE  4, 0      )  1 NE 20 +   4.730 MEV
  719    1 O  17 ( 1 HE  4, 1 NE  1)  1 NE 20 +   0.587 MEV
  720    1 O  17 ( 1 HE  4, 0      )  1 NE 21 +   7.348 MEV
  721    1 NE 20 ( 1 NE  1, 1 HE  4)  1 O  17 +  -0.587 MEV
  722    1 O  18 ( 1 HE  4, 0      )  1 NE 22 +   9.668 MEV
  723    1 O  19 ( 1 HE  4, 1 NE  1)  1 NE 22 +   5.712 MEV
  724    1 O  19 ( 1 HE  4, 0      )  1 NE 23 +  10.912 MEV
  725    1 NE 22 ( 1 NE  1, 1 HE  4)  1 O  19 +  -5.712 MEV
  726    1 O  13 ( 0      , 1 H   1)  1 N  12 +  -1.512 MEV
  727    1 O  13 ( 0      , 1 HE  4)  1 C   9 +  -8.221 MEV
  728    1 O  14 ( 0      , 1 NE  1)  1 O  13 + -23.179 MEV
  729    1 O  14 ( 0      , 1 H   1)  1 N  13 +  -4.627 MEV
  730    1 O  14 ( 0      , 1 HE  4)  1 C  10 + -10.117 MEV
  731    1 O  15 ( 0      , 1 NE  1)  1 O  14 + -13.222 MEV
  732    1 O  15 ( 0      , 1 H   1)  1 N  14 +  -7.297 MEV
  733    1 O  15 ( 0      , 1 HE  4)  1 C  11 + -10.219 MEV
  734    1 O  16 ( 0      , 1 NE  1)  1 O  15 + -15.664 MEV
  735    1 O  16 ( 0      , 1 H   1)  1 N  15 + -12.127 MEV
  736    1 O  16 ( 0      , 1 HE  4)  1 C  12 +  -7.162 MEV
  737    1 O  17 ( 0      , 1 NE  1)  1 O  16 +  -4.143 MEV
  738    1 O  17 ( 0      , 1 H   1)  1 N  16 + -13.782 MEV
  739    1 O  17 ( 0      , 1 HE  4)  1 C  13 +  -6.359 MEV
  740    1 O  18 ( 0      , 1 NE  1)  1 O  17 +  -8.045 MEV
  741    1 O  18 ( 0      , 1 H   1)  1 N  17 + -15.942 MEV
  742    1 O  18 ( 0      , 1 HE  4)  1 C  14 +  -6.226 MEV
  743    1 O  19 ( 0      , 1 NE  1)  1 O  18 +  -3.955 MEV
  744    1 O  19 ( 0      , 1 H   1)  1 N  18 + -17.069 MEV
  745    1 O  19 ( 0      , 1 HE  4)  1 C  15 +  -8.965 MEV
  746    1 F  17 ( 1 NE  1, 1 H   1)  1 O  17 +   3.543 MEV
  747    1 F  17 ( 1 NE  1, 1 HE  4)  1 N  14 +   4.735 MEV
  748    1 F  17 ( 1 NE  1, 0      )  1 F  18 +   9.150 MEV
  749    1 O  17 ( 1 H   1, 1 NE  1)  1 F  17 +  -3.543 MEV
  750    1 N  14 ( 1 HE  4, 1 NE  1)  1 F  17 +  -4.735 MEV
  751    1 F  18 ( 1 NE  1, 1 H   1)  1 O  18 +   2.438 MEV
  752    1 F  18 ( 1 NE  1, 1 HE  4)  1 N  15 +   6.418 MEV
  753    1 F  18 ( 1 NE  1, 0      )  1 F  19 +  10.431 MEV
  754    1 O  18 ( 1 H   1, 1 NE  1)  1 F  18 +  -2.438 MEV
  755    1 N  15 ( 1 HE  4, 1 NE  1)  1 F  18 +  -6.418 MEV
  756    1 F  19 ( 1 NE  1, 0      )  1 F  20 +   6.601 MEV
  757    1 F  20 ( 1 NE  1, 0      )  1 F  21 +   8.102 MEV
  758    1 F  21 ( 1 NE  1, 0      )  1 F  22 +   5.230 MEV
  759    1 F  17 ( 1 H   1, 0      )  1 NE 18 +   3.924 MEV
  760    1 F  18 ( 1 H   1, 1 HE  4)  1 O  15 +   2.882 MEV
  761    1 F  18 ( 1 H   1, 0      )  1 NE 19 +   6.411 MEV
  762    1 O  15 ( 1 HE  4, 1 H   1)  1 F  18 +  -2.882 MEV
  763    1 F  19 ( 1 H   1, 1 HE  4)  1 O  16 +   8.114 MEV
  764    1 F  19 ( 1 H   1, 0      )  1 NE 20 +  12.844 MEV
  765    1 O  16 ( 1 HE  4, 1 H   1)  1 F  19 +  -8.114 MEV
  766    1 F  20 ( 1 H   1, 1 NE  1)  1 NE 20 +   6.243 MEV
  767    1 F  20 ( 1 H   1, 1 HE  4)  1 O  17 +   5.656 MEV
  768    1 F  20 ( 1 H   1, 0      )  1 NE 21 +  13.004 MEV
  769    1 NE 20 ( 1 NE  1, 1 H   1)  1 F  20 +  -6.243 MEV
  770    1 O  17 ( 1 HE  4, 1 H   1)  1 F  20 +  -5.656 MEV
  771    1 F  21 ( 1 H   1, 1 NE  1)  1 NE 21 +   4.902 MEV
  772    1 F  21 ( 1 H   1, 1 HE  4)  1 O  18 +   5.599 MEV
  773    1 F  21 ( 1 H   1, 0      )  1 NE 22 +  15.266 MEV
  774    1 NE 21 ( 1 NE  1, 1 H   1)  1 F  21 +  -4.902 MEV
  775    1 O  18 ( 1 HE  4, 1 H   1)  1 F  21 +  -5.599 MEV
  776    1 F  22 ( 1 H   1, 1 NE  1)  1 NE 22 +  10.036 MEV
  777    1 F  22 ( 1 H   1, 1 HE  4)  1 O  19 +   4.324 MEV
  778    1 F  22 ( 1 H   1, 0      )  1 NE 23 +  15.236 MEV
  779    1 NE 22 ( 1 NE  1, 1 H   1)  1 F  22 + -10.036 MEV
  780    1 O  19 ( 1 HE  4, 1 H   1)  1 F  22 +  -4.324 MEV
  781    1 F  17 ( 1 HE  4, 1 H   1)  1 NE 20 +   4.130 MEV
  782    1 F  17 ( 1 HE  4, 0      )  1 NA 21 +   6.562 MEV
  783    1 NE 20 ( 1 H   1, 1 HE  4)  1 F  17 +  -4.130 MEV
  784    1 F  18 ( 1 HE  4, 1 H   1)  1 NE 21 +   1.741 MEV
  785    1 F  18 ( 1 HE  4, 0      )  1 NA 22 +   8.480 MEV
  786    1 NE 21 ( 1 H   1, 1 HE  4)  1 F  18 +  -1.741 MEV
  787    1 F  19 ( 1 HE  4, 1 H   1)  1 NE 22 +   1.674 MEV
  788    1 F  19 ( 1 HE  4, 0      )  1 NA 23 +  10.468 MEV
  789    1 NE 22 ( 1 H   1, 1 HE  4)  1 F  19 +  -1.674 MEV
  790    1 F  20 ( 1 HE  4, 1 NE  1)  1 NA 23 +   3.867 MEV
  791    1 F  20 ( 1 HE  4, 1 H   1)  1 NE 23 +   0.273 MEV
  792    1 F  20 ( 1 HE  4, 0      )  1 NA 24 +  10.826 MEV
  793    1 NA 23 ( 1 NE  1, 1 HE  4)  1 F  20 +  -3.867 MEV
  794    1 NE 23 ( 1 H   1, 1 HE  4)  1 F  20 +  -0.273 MEV
  795    1 F  21 ( 1 HE  4, 1 NE  1)  1 NA 24 +   2.724 MEV
  796    1 F  21 ( 1 HE  4, 0      )  1 NA 25 +  11.735 MEV
  797    1 NA 24 ( 1 NE  1, 1 HE  4)  1 F  21 +  -2.724 MEV
  798    1 F  22 ( 1 HE  4, 1 NE  1)  1 NA 25 +   6.505 MEV
  799    1 F  22 ( 1 HE  4, 0      )  1 NA 26 +  12.079 MEV
  800    1 NA 25 ( 1 NE  1, 1 HE  4)  1 F  22 +  -6.505 MEV
  801    1 F  17 ( 0      , 1 H   1)  1 O  16 +  -0.600 MEV
  802    1 F  17 ( 0      , 1 HE  4)  1 N  13 +  -5.818 MEV
  803    1 F  18 ( 0      , 1 NE  1)  1 F  17 +  -9.150 MEV
  804    1 F  18 ( 0      , 1 H   1)  1 O  17 +  -5.607 MEV
  805    1 F  18 ( 0      , 1 HE  4)  1 N  14 +  -4.415 MEV
  806    1 F  19 ( 0      , 1 NE  1)  1 F  18 + -10.431 MEV
  807    1 F  19 ( 0      , 1 H   1)  1 O  18 +  -7.995 MEV
  808    1 F  19 ( 0      , 1 HE  4)  1 N  15 +  -4.014 MEV
  809    1 F  20 ( 0      , 1 NE  1)  1 F  19 +  -6.601 MEV
  810    1 F  20 ( 0      , 1 H   1)  1 O  19 + -10.639 MEV
  811    1 F  20 ( 0      , 1 HE  4)  1 N  16 +  -8.126 MEV
  812    1 F  21 ( 0      , 1 NE  1)  1 F  20 +  -8.102 MEV
  813    1 F  21 ( 0      , 1 HE  4)  1 N  17 + -10.343 MEV
  814    1 F  22 ( 0      , 1 NE  1)  1 F  21 +  -5.230 MEV
  815    1 F  22 ( 0      , 1 HE  4)  1 N  18 + -12.745 MEV
  816    1 NE 18 ( 1 NE  1, 1 H   1)  1 F  18 +   5.227 MEV
  817    1 NE 18 ( 1 NE  1, 1 HE  4)  1 O  15 +   8.108 MEV
  818    1 NE 18 ( 1 NE  1, 0      )  1 NE 19 +  11.637 MEV
  819    1 F  18 ( 1 H   1, 1 NE  1)  1 NE 18 +  -5.227 MEV
  820    1 O  15 ( 1 HE  4, 1 NE  1)  1 NE 18 +  -8.108 MEV
  821    1 NE 19 ( 1 NE  1, 1 H   1)  1 F  19 +   4.021 MEV
  822    1 NE 19 ( 1 NE  1, 1 HE  4)  1 O  16 +  12.135 MEV
  823    1 NE 19 ( 1 NE  1, 0      )  1 NE 20 +  16.865 MEV
  824    1 F  19 ( 1 H   1, 1 NE  1)  1 NE 19 +  -4.021 MEV
  825    1 O  16 ( 1 HE  4, 1 NE  1)  1 NE 19 + -12.135 MEV
  826    1 NE 20 ( 1 NE  1, 0      )  1 NE 21 +   6.761 MEV
  827    1 NE 21 ( 1 NE  1, 1 HE  4)  1 O  18 +   0.697 MEV
  828    1 NE 21 ( 1 NE  1, 0      )  1 NE 22 +  10.364 MEV
  829    1 O  18 ( 1 HE  4, 1 NE  1)  1 NE 21 +  -0.697 MEV
  830    1 NE 22 ( 1 NE  1, 0      )  1 NE 23 +   5.200 MEV
  831    1 NE 18 ( 1 H   1, 0      )  1 NA 19 +  -0.322 MEV
  832    1 NE 19 ( 1 H   1, 0      )  1 NA 20 +   2.193 MEV
  833    1 NE 20 ( 1 H   1, 0      )  1 NA 21 +   2.432 MEV
  834    1 NE 21 ( 1 H   1, 0      )  1 NA 22 +   6.740 MEV
  835    1 NE 22 ( 1 H   1, 0      )  1 NA 23 +   8.794 MEV
  836    1 NE 23 ( 1 H   1, 1 NE  1)  1 NA 23 +   3.594 MEV
  837    1 NE 23 ( 1 H   1, 0      )  1 NA 24 +  10.553 MEV
  838    1 NA 23 ( 1 NE  1, 1 H   1)  1 NE 23 +  -3.594 MEV
  839    1 NE 18 ( 1 HE  4, 1 H   1)  1 NA 21 +   2.639 MEV
  840    1 NE 18 ( 1 HE  4, 0      )  1 MG 22 +   8.143 MEV
  841    1 NA 21 ( 1 H   1, 1 HE  4)  1 NE 18 +  -2.639 MEV
  842    1 NE 19 ( 1 HE  4, 1 H   1)  1 NA 22 +   2.070 MEV
  843    1 NE 19 ( 1 HE  4, 0      )  1 MG 23 +   9.650 MEV
  844    1 NA 22 ( 1 H   1, 1 HE  4)  1 NE 19 +  -2.070 MEV
  845    1 NE 20 ( 1 HE  4, 0      )  1 MG 24 +   9.317 MEV
  846    1 NE 21 ( 1 HE  4, 1 NE  1)  1 MG 24 +   2.556 MEV
  847    1 NE 21 ( 1 HE  4, 0      )  1 MG 25 +   9.886 MEV
  848    1 MG 24 ( 1 NE  1, 1 HE  4)  1 NE 21 +  -2.556 MEV
  849    1 NE 22 ( 1 HE  4, 0      )  1 MG 26 +  10.615 MEV
  850    1 NE 23 ( 1 HE  4, 1 NE  1)  1 MG 26 +   5.415 MEV
  851    1 NE 23 ( 1 HE  4, 0      )  1 MG 27 +  11.858 MEV
  852    1 MG 26 ( 1 NE  1, 1 HE  4)  1 NE 23 +  -5.415 MEV
  853    1 NE 18 ( 0      , 1 H   1)  1 F  17 +  -3.924 MEV
  854    1 NE 18 ( 0      , 1 HE  4)  1 O  14 +  -5.114 MEV
  855    1 NE 19 ( 0      , 1 NE  1)  1 NE 18 + -11.637 MEV
  856    1 NE 19 ( 0      , 1 H   1)  1 F  18 +  -6.411 MEV
  857    1 NE 19 ( 0      , 1 HE  4)  1 O  15 +  -3.529 MEV
  858    1 NE 20 ( 0      , 1 NE  1)  1 NE 19 + -16.865 MEV
  859    1 NE 20 ( 0      , 1 H   1)  1 F  19 + -12.844 MEV
  860    1 NE 20 ( 0      , 1 HE  4)  1 O  16 +  -4.730 MEV
  861    1 NE 21 ( 0      , 1 NE  1)  1 NE 20 +  -6.761 MEV
  862    1 NE 21 ( 0      , 1 H   1)  1 F  20 + -13.004 MEV
  863    1 NE 21 ( 0      , 1 HE  4)  1 O  17 +  -7.348 MEV
  864    1 NE 22 ( 0      , 1 NE  1)  1 NE 21 + -10.364 MEV
  865    1 NE 22 ( 0      , 1 H   1)  1 F  21 + -15.266 MEV
  866    1 NE 22 ( 0      , 1 HE  4)  1 O  18 +  -9.668 MEV
  867    1 NE 23 ( 0      , 1 NE  1)  1 NE 22 +  -5.200 MEV
  868    1 NE 23 ( 0      , 1 H   1)  1 F  22 + -15.236 MEV
  869    1 NE 23 ( 0      , 1 HE  4)  1 O  19 + -10.912 MEV
  870    1 NA 19 ( 1 NE  1, 1 H   1)  1 NE 19 +  11.959 MEV
  871    1 NA 19 ( 1 NE  1, 1 HE  4)  1 F  16 +   7.895 MEV
  872    1 NA 19 ( 1 NE  1, 0      )  1 NA 20 +  14.149 MEV
  873    1 NE 19 ( 1 H   1, 1 NE  1)  1 NA 19 + -11.959 MEV
  874    1 F  16 ( 1 HE  4, 1 NE  1)  1 NA 19 +  -7.895 MEV
  875    1 NA 20 ( 1 NE  1, 1 H   1)  1 NE 20 +  14.675 MEV
  876    1 NA 20 ( 1 NE  1, 1 HE  4)  1 F  17 +  10.545 MEV
  877    1 NA 20 ( 1 NE  1, 0      )  1 NA 21 +  17.107 MEV
  878    1 NE 20 ( 1 H   1, 1 NE  1)  1 NA 20 + -14.675 MEV
  879    1 F  17 ( 1 HE  4, 1 NE  1)  1 NA 20 + -10.545 MEV
  880    1 NA 21 ( 1 NE  1, 1 H   1)  1 NE 21 +   4.329 MEV
  881    1 NA 21 ( 1 NE  1, 1 HE  4)  1 F  18 +   2.588 MEV
  882    1 NA 21 ( 1 NE  1, 0      )  1 NA 22 +  11.068 MEV
  883    1 NE 21 ( 1 H   1, 1 NE  1)  1 NA 21 +  -4.329 MEV
  884    1 F  18 ( 1 HE  4, 1 NE  1)  1 NA 21 +  -2.588 MEV
  885    1 NA 22 ( 1 NE  1, 1 H   1)  1 NE 22 +   3.625 MEV
  886    1 NA 22 ( 1 NE  1, 1 HE  4)  1 F  19 +   1.951 MEV
  887    1 NA 22 ( 1 NE  1, 0      )  1 NA 23 +  12.419 MEV
  888    1 NE 22 ( 1 H   1, 1 NE  1)  1 NA 22 +  -3.625 MEV
  889    1 F  19 ( 1 HE  4, 1 NE  1)  1 NA 22 +  -1.951 MEV
  890    1 NA 23 ( 1 NE  1, 0      )  1 NA 24 +   6.959 MEV
  891    1 NA 24 ( 1 NE  1, 0      )  1 NA 25 +   9.011 MEV
  892    1 NA 25 ( 1 NE  1, 0      )  1 NA 26 +   5.574 MEV
  893    1 NA 19 ( 1 H   1, 0      )  1 MG 20 +   2.659 MEV
  894    1 NA 20 ( 1 H   1, 0      )  1 MG 21 +   3.226 MEV
  895    1 NA 21 ( 1 H   1, 0      )  1 MG 22 +   5.504 MEV
  896    1 NA 22 ( 1 H   1, 0      )  1 MG 23 +   7.581 MEV
  897    1 NA 23 ( 1 H   1, 1 HE  4)  1 NE 20 +   2.376 MEV
  898    1 NA 23 ( 1 H   1, 0      )  1 MG 24 +  11.693 MEV
  899    1 NE 20 ( 1 HE  4, 1 H   1)  1 NA 23 +  -2.376 MEV
  900    1 NA 24 ( 1 H   1, 1 NE  1)  1 MG 24 +   4.734 MEV
  901    1 NA 24 ( 1 H   1, 1 HE  4)  1 NE 21 +   2.178 MEV
  902    1 NA 24 ( 1 H   1, 0      )  1 MG 25 +  12.064 MEV
  903    1 MG 24 ( 1 NE  1, 1 H   1)  1 NA 24 +  -4.734 MEV
  904    1 NE 21 ( 1 HE  4, 1 H   1)  1 NA 24 +  -2.178 MEV
  905    1 NA 25 ( 1 H   1, 1 NE  1)  1 MG 25 +   3.053 MEV
  906    1 NA 25 ( 1 H   1, 1 HE  4)  1 NE 22 +   3.531 MEV
  907    1 NA 25 ( 1 H   1, 0      )  1 MG 26 +  14.146 MEV
  908    1 MG 25 ( 1 NE  1, 1 H   1)  1 NA 25 +  -3.053 MEV
  909    1 NE 22 ( 1 HE  4, 1 H   1)  1 NA 25 +  -3.531 MEV
  910    1 NA 26 ( 1 H   1, 1 NE  1)  1 MG 26 +   8.572 MEV
  911    1 NA 26 ( 1 H   1, 1 HE  4)  1 NE 23 +   3.157 MEV
  912    1 NA 26 ( 1 H   1, 0      )  1 MG 27 +  15.015 MEV
  913    1 MG 26 ( 1 NE  1, 1 H   1)  1 NA 26 +  -8.572 MEV
  914    1 NE 23 ( 1 HE  4, 1 H   1)  1 NA 26 +  -3.157 MEV
  915    1 NA 19 ( 1 HE  4, 1 H   1)  1 MG 22 +   8.465 MEV
  916    1 NA 19 ( 1 HE  4, 0      )  1 AL 23 +   8.606 MEV
  917    1 MG 22 ( 1 H   1, 1 HE  4)  1 NA 19 +  -8.465 MEV
  918    1 NA 20 ( 1 HE  4, 1 H   1)  1 MG 23 +   7.460 MEV
  919    1 NA 20 ( 1 HE  4, 0      )  1 AL 24 +   9.324 MEV
  920    1 MG 23 ( 1 H   1, 1 HE  4)  1 NA 20 +  -7.460 MEV
  921    1 NA 21 ( 1 HE  4, 1 H   1)  1 MG 24 +   6.885 MEV
  922    1 NA 21 ( 1 HE  4, 0      )  1 AL 25 +   9.156 MEV
  923    1 MG 24 ( 1 H   1, 1 HE  4)  1 NA 21 +  -6.885 MEV
  924    1 NA 22 ( 1 HE  4, 1 H   1)  1 MG 25 +   3.147 MEV
  925    1 MG 25 ( 1 H   1, 1 HE  4)  1 NA 22 +  -3.147 MEV
  926    1 NA 23 ( 1 HE  4, 1 H   1)  1 MG 26 +   1.821 MEV
  927    1 NA 23 ( 1 HE  4, 0      )  1 AL 27 +  10.092 MEV
  928    1 MG 26 ( 1 H   1, 1 HE  4)  1 NA 23 +  -1.821 MEV
  929    1 NA 24 ( 1 HE  4, 1 NE  1)  1 AL 27 +   3.133 MEV
  930    1 NA 24 ( 1 HE  4, 1 H   1)  1 MG 27 +   1.305 MEV
  931    1 NA 24 ( 1 HE  4, 0      )  1 AL 28 +  10.858 MEV
  932    1 AL 27 ( 1 NE  1, 1 HE  4)  1 NA 24 +  -3.133 MEV
  933    1 MG 27 ( 1 H   1, 1 HE  4)  1 NA 24 +  -1.305 MEV
  934    1 NA 25 ( 1 HE  4, 1 NE  1)  1 AL 28 +   1.847 MEV
  935    1 NA 25 ( 1 HE  4, 0      )  1 AL 29 +  11.272 MEV
  936    1 AL 28 ( 1 NE  1, 1 HE  4)  1 NA 25 +  -1.847 MEV
  937    1 NA 26 ( 1 HE  4, 1 NE  1)  1 AL 29 +   5.698 MEV
  938    1 NA 26 ( 1 HE  4, 0      )  1 AL 30 +  11.436 MEV
  939    1 AL 29 ( 1 NE  1, 1 HE  4)  1 NA 26 +  -5.698 MEV
  940    1 NA 19 ( 0      , 1 H   1)  1 NE 18 +   0.322 MEV
  941    1 NA 20 ( 0      , 1 NE  1)  1 NA 19 + -14.149 MEV
  942    1 NA 20 ( 0      , 1 H   1)  1 NE 19 +  -2.193 MEV
  943    1 NA 21 ( 0      , 1 NE  1)  1 NA 20 + -17.107 MEV
  944    1 NA 21 ( 0      , 1 H   1)  1 NE 20 +  -2.432 MEV
