213        Isotope List   
     Name    A   Z 
   83    1 CL 36 ( 0      , 0      )  1 AR 36 +   0.710 MEV
   84    1 CL 36 ( 0      , 0      )  1 S  36 +   1.142 MEV
   85    1 CL 38 ( 0      , 0      )  1 AR 38 +   4.917 MEV
   86    1 CL 39 ( 0      , 0      )  1 AR 39 +   3.442 MEV
   87    1 CL 40 ( 0      , 0      )  1 AR 40 +   7.480 MEV
   88    1 AR 32 ( 0      , 0      )  1 CL 32 +  11.130 MEV
   89    1 AR 33 ( 0      , 0      )  1 CL 33 +  11.162 MEV
   90    1 AR 34 ( 0      , 0      )  1 CL 34 +   6.063 MEV
   91    1 AR 35 ( 0      , 0      )  1 CL 35 +   5.966 MEV
   92    1 AR 37 ( 0      , 0      )  1 CL 37 +   0.814 MEV
   93    1 AR 39 ( 0      , 0      )  1 K  39 +   0.565 MEV
   94    1 AR 41 ( 0      , 0      )  1 K  41 +   2.492 MEV
   95    1 K  34 ( 0      , 0      )  1 AR 34 +  16.040 MEV
   96    1 K  35 ( 0      , 0      )  1 AR 35 +  11.879 MEV
   97    1 K  36 ( 0      , 0      )  1 AR 36 +  12.805 MEV
   98    1 K  37 ( 0      , 0      )  1 AR 37 +   6.147 MEV
   99    1 K  38 ( 0      , 0      )  1 AR 38 +   5.914 MEV
  100    1 K  40 ( 0      , 0      )  1 CA 40 +   1.311 MEV
  101    1 K  40 ( 0      , 0      )  1 AR 40 +   1.505 MEV
  102    1 K  42 ( 0      , 0      )  1 CA 42 +   3.525 MEV
  103    1 K  43 ( 0      , 0      )  1 CA 43 +   1.815 MEV
  104    1 K  44 ( 0      , 0      )  1 CA 44 +   5.660 MEV
  105    1 K  45 ( 0      , 0      )  1 CA 45 +   4.204 MEV
  106    1 K  46 ( 0      , 0      )  1 CA 46 +   7.717 MEV
  107    1 K  47 ( 0      , 0      )  1 CA 47 +   6.644 MEV
  108    1 K  48 ( 0      , 0      )  1 CA 48 +  12.090 MEV
  109    1 CA 36 ( 0      , 0      )  1 K  36 +  10.990 MEV
  110    1 CA 37 ( 0      , 0      )  1 K  37 +  11.638 MEV
  111    1 CA 38 ( 0      , 0      )  1 K  38 +   6.741 MEV
  112    1 CA 39 ( 0      , 0      )  1 K  39 +   6.533 MEV
  113    1 CA 41 ( 0      , 0      )  1 K  41 +   0.421 MEV
  114    1 CA 45 ( 0      , 0      )  1 SC 45 +   0.256 MEV
  115    1 CA 47 ( 0      , 0      )  1 SC 47 +   1.992 MEV
  116    1 CA 48 ( 0      , 0      )  1 SC 48 +   0.000 MEV
  117    1 SC 40 ( 0      , 0      )  1 CA 40 +  14.323 MEV
  118    1 SC 41 ( 0      , 0      )  1 CA 41 +   6.495 MEV
  119    1 SC 42 ( 0      , 0      )  1 CA 42 +   6.426 MEV
  120    1 SC 43 ( 0      , 0      )  1 CA 43 +   2.221 MEV
  121    1 SC 44 ( 0      , 0      )  1 CA 44 +   3.652 MEV
  122    1 SC 46 ( 0      , 0      )  1 CA 46 +   1.376 MEV
  123    1 SC 46 ( 0      , 0      )  1 TI 46 +   2.366 MEV
