     par(1)       par(2)       par(3)       par(4)     ratio_max
   6.44E+000    7.68E+000    3.28E+002    4.07E+000    2.73E+000
   3.23E+001    1.01E+001    2.39E+000    5.00E+001    2.74E+000
   7.90E+001    8.37E+001    2.23E+002    4.96E+000    3.94E+000
   1.45E+001    3.59E+000    5.12E+002    5.25E+001    1.34E+000
   2.17E+001    1.11E+000    1.03E+002    9.49E+002    3.99E+000
   6.77E+000    4.99E+001    7.59E+002    2.38E+002    1.43E+000
   6.22E+001    1.83E+000    1.44E+002    7.52E+000    1.93E+000
   1.75E+000    3.52E+001    6.14E+002    1.18E+002    1.01E+000
   2.62E+001    1.88E+000    1.96E+002    5.34E+001    2.65E+000
   3.21E+001    1.17E+001    4.11E+002    2.33E+000    1.17E+000
   7.58E+000    4.31E+001    2.36E+002    1.89E+001    2.95E+000
   4.78E+001    3.41E+000    6.70E+002    2.39E+002    2.00E+000
   8.19E+001    5.07E+000    5.06E+000    2.45E+000    3.63E+000
   2.85E+000    8.44E+001    2.39E+000    2.68E+002    2.25E+000
   6.12E+001    1.09E+000    1.78E+002    2.73E+002    1.91E+000
   8.11E+001    5.11E+001    6.10E+000    2.39E+000    3.71E+000
   6.97E+001    1.64E+000    2.13E+002    1.25E+000    2.62E+000
   3.53E+000    2.85E+000    6.30E+002    9.10E+002    1.01E+000
   2.85E+000    7.73E+001    1.37E+000    4.65E+000    2.78E+000
   2.53E+001    2.54E+000    3.79E+002    3.99E+002    1.52E+000
   3.01E+000    9.42E+001    1.35E+001    2.02E+001    1.86E+000
   3.20E+001    1.68E+001    1.20E+000    7.45E+001    2.72E+000
   2.23E+001    3.08E+001    1.13E+002    4.21E+000    3.71E+000
   8.32E+001    8.89E+001    1.35E+001    2.30E+000    4.26E+000
   2.11E+000    4.53E+001    8.15E+002    2.75E+002    1.53E+000
   7.54E+001    2.85E+000    9.89E+000    9.24E+001    2.96E+000
   8.64E+001    2.39E+001    2.21E+001    2.37E+001    4.20E+000
   2.86E+001    2.73E+001    5.38E+001    4.57E+002    2.80E+000
   8.29E+000    6.29E+001    2.60E+001    6.68E+000    3.89E+000
   2.79E+000    1.59E+000    3.31E+002    1.47E+002    2.70E+000
   2.78E+001    1.00E+000    2.22E+001    1.98E+002    3.81E+000
   2.27E+001    4.93E+000    6.19E+002    1.24E+000    1.07E+000
   1.52E+001    1.00E+002    7.69E+002    2.41E+002    1.95E+000
   4.71E+000    9.96E+001    4.62E+001    8.44E+001    1.61E+000
   6.38E+000    3.19E+000    3.75E+002    8.45E+001    2.24E+000
   2.91E+000    3.13E+001    3.46E+002    3.42E+002    2.15E+000
   6.17E+000    1.69E+001    2.75E+002    1.45E+001    3.37E+000
   3.65E+001    1.29E+001    1.62E+001    5.07E+001    2.00E+000
   1.14E+000    3.92E+001    9.81E+002    2.16E+001    1.93E+000
   2.20E+001    1.66E+000    4.45E+001    8.30E+002    4.91E+000
   4.79E+001    2.50E+000    1.96E+001    4.13E+002    1.02E+000
   9.14E+001    2.77E+001    1.89E+002    6.34E+001    4.99E+000
   1.37E+000    1.80E+000    7.05E+002    2.75E+000    1.12E+000
   3.24E+001    4.38E+000    9.47E+002    5.98E+002    2.14E+000
   3.45E+001    2.01E+001    4.25E+002    3.88E+001    1.03E+000
   3.83E+001    5.40E+001    4.56E+002    4.82E+001    1.31E+000
   1.19E+001    3.10E+000    5.67E+002    5.49E+002    1.15E+000
   5.41E+001    1.02E+000    9.84E+001    4.39E+001    1.35E+000
   1.51E+001    8.47E+001    3.14E+000    8.02E+000    2.07E+000
   1.11E+001    1.25E+001    3.05E+002    9.34E+000    2.83E+000
   4.27E+001    9.42E+000    1.43E+001    2.67E+001    1.38E+000
   8.55E+001    1.52E+000    1.23E+000    1.65E+001    4.05E+000
   5.51E+001    2.21E+000    1.69E+001    2.52E+001    1.35E+000
   2.57E+000    1.35E+001    7.96E+002    3.39E+002    1.38E+000
   3.28E+001    4.68E+000    9.48E+000    9.02E+000    2.68E+000
   1.71E+000    5.05E+001    2.77E+002    6.41E+001    2.31E+000
   1.79E+001    9.63E+001    5.80E+000    1.24E+000    1.58E+000
   5.60E+001    2.16E+000    1.33E+001    5.73E+000    1.41E+000
   3.00E+001    9.35E+001    1.93E+001    9.04E+002    1.14E+000
   2.80E+001    7.28E+001    1.86E+001    7.47E+000    1.75E+000
   1.72E+000    3.10E+001    5.99E+002    3.59E+001    1.06E+000
   2.36E+001    9.99E+000    1.33E+002    2.22E+002    3.66E+000
   2.19E+000    3.72E+001    5.44E+002    2.14E+002    1.17E+000
   1.28E+001    7.75E+001    3.10E+002    5.08E+002    1.33E+000
   4.03E+000    1.11E+001    4.47E+002    1.31E+001    1.74E+000
   1.84E+001    6.29E+000    3.89E+002    1.15E+002    1.80E+000
   4.89E+000    8.70E+001    6.62E+001    1.76E+002    2.00E+000
   1.57E+000    6.63E+001    7.05E+000    1.89E+002    3.62E+000
   3.49E+000    4.11E+001    2.79E+002    4.42E+001    2.60E+000
   1.76E+001    2.38E+001    1.17E+002    2.16E+002    4.99E+000
   8.64E+000    5.63E+000    8.11E+002    2.29E+001    1.40E+000
   4.15E+001    6.38E+001    2.87E+002    8.02E+000    1.20E+000
   3.32E+001    3.86E+001    1.07E+001    5.36E+000    2.12E+000
   4.13E+001    3.91E+001    4.32E+001    1.68E+001    1.30E+000
   1.93E+001    2.10E+000    9.58E+002    4.98E+001    1.87E+000
   3.10E+000    6.09E+001    3.88E+001    1.16E+000    4.21E+000
   2.39E+000    4.01E+001    1.54E+002    6.39E+000    4.73E+000
   7.45E+000    1.42E+001    3.71E+002    1.73E+002    2.18E+000
   3.14E+000    2.22E+000    2.36E+002    7.81E+002    3.77E+000
   8.16E+001    1.60E+001    1.66E+001    8.28E+000    3.62E+000
   3.70E+001    3.85E+000    6.09E+001    2.65E+002    1.84E+000
   6.45E+000    2.13E+000    7.56E+002    9.85E+002    1.31E+000
   1.26E+001    1.53E+000    2.76E+002    2.02E+002    3.12E+000
   3.96E+000    4.83E+001    1.01E+002    1.00E+000    4.94E+000
   1.17E+001    1.82E+000    2.62E+002    2.33E+002    3.37E+000
   1.37E+000    4.01E+001    6.03E+002    1.92E+002    1.01E+000
   5.19E+001    2.60E+000    9.42E+001    6.90E+000    1.22E+000
   3.17E+001    1.03E+001    4.96E+002    5.70E+001    1.01E+000
   3.89E+001    3.58E+001    7.24E+000    2.39E+002    1.52E+000
   6.28E+001    2.62E+000    7.72E+000    2.64E+001    1.87E+000
   1.97E+001    9.04E+001    7.30E+002    9.12E+002    1.83E+000
   1.85E+001    8.83E+001    6.15E+000    2.06E+002    1.76E+000
   1.19E+001    1.02E+000    2.23E+002    3.30E+001    4.34E+000
   5.93E+001    1.97E+001    2.31E+002    6.55E+000    1.86E+000
   1.89E+000    1.10E+000    3.08E+002    8.83E+002    2.66E+000
   9.19E+000    3.89E+000    3.20E+002    6.88E+002    2.50E+000
   1.51E+000    1.54E+000    6.83E+002    7.31E+002    1.11E+000
   6.81E+000    1.56E+001    4.13E+002    5.77E+001    1.89E+000
   5.39E+001    2.65E+000    4.05E+002    2.96E+002    1.78E+000
   8.07E+001    4.31E+001    1.50E+002    1.64E+002    3.74E+000
   9.02E+000    9.92E+001    2.49E+002    3.34E+002    1.17E+000
   1.51E+001    3.63E+001    7.90E+002    1.95E+000    1.46E+000
   3.75E+001    5.28E+001    1.78E+001    1.66E+000    1.45E+000
   8.49E+000    2.41E+001    4.35E+002    4.88E+002    1.61E+000
   5.06E+001    1.78E+001    1.88E+001    1.58E+002    1.13E+000
   3.13E+000    4.31E+001    1.65E+002    1.92E+002    3.99E+000
   3.36E+000    6.08E+000    7.49E+002    5.13E+000    1.23E+000
   7.88E+001    6.92E+000    3.29E+002    2.03E+001    3.66E+000
   6.42E+001    9.44E+001    1.01E+002    1.94E+002    2.58E+000
   3.61E+001    3.61E+000    4.12E+001    2.31E+001    2.05E+000
   8.91E+000    4.57E+000    3.22E+002    5.34E+000    2.76E+000
   1.10E+000    1.84E+001    3.28E+002    3.92E+001    2.64E+000
   3.63E+001    2.55E+001    1.40E+002    2.54E+002    1.59E+000
   9.22E+001    2.71E+000    3.58E+000    1.78E+002    4.90E+000
   7.52E+001    2.96E+000    1.13E+001    4.09E+000    2.94E+000
   2.43E+001    1.23E+001    4.08E+002    4.01E+002    1.43E+000
   5.18E+000    3.12E+000    8.63E+002    2.29E+002    1.54E+000
   8.37E+000    3.45E+001    1.84E+002    6.82E+002    3.65E+000
   4.66E+001    3.48E+000    4.94E+002    3.85E+000    1.54E+000
   4.78E+001    2.65E+000    8.41E+001    8.24E+002    1.04E+000
   2.87E+001    4.12E+000    2.83E+000    1.87E+002    3.61E+000
   8.10E+001    9.45E+000    1.35E+000    2.58E+001    3.54E+000
   2.36E+000    1.19E+000    7.98E+002    5.06E+001    1.35E+000
   2.02E+001    7.35E+001    1.28E+001    9.63E+000    2.29E+000
   1.89E+001    5.72E+001    5.58E+001    2.66E+001    3.17E+000
